filename,latitude,longitude,heading,pitch,fov,size,timestamp,status,error_message,file_size_bytes,source_folder,original_filename,region_id
streetview_downtown_la_dtla_0410_h180.jpg,34.03989491694129,-118.2561623019346,180,0,90,640x640,2026-01-04 11:59:48,success,,98101,streetview_downtown_la,dtla_0410_h180.jpg,downtown_la
streetview_beverly_hills_bh_0690_h270.jpg,34.06942832949461,-118.4040529741394,270,0,90,640x640,2026-01-04 13:34:12,success,,69613,streetview_beverly_hills,bh_0690_h270.jpg,beverly_hills
streetview_downtown_la_dtla_0494_h180.jpg,34.04059006601423,-118.2565312354457,180,0,90,640x640,2026-01-04 12:02:51,success,,80800,streetview_downtown_la,dtla_0494_h180.jpg,downtown_la
streetview_venice_beach_vb_0076_h090.jpg,33.98267220580374,-118.4699858770918,90,0,90,640x640,2026-01-04 14:36:34,success,,82882,streetview_venice_beach,vb_0076_h090.jpg,venice_beach
streetview_downtown_la_dtla_0226_h270.jpg,34.03761409586549,-118.247231370143,270,0,90,640x640,2026-01-04 11:53:16,success,,86794,streetview_downtown_la,dtla_0226_h270.jpg,downtown_la
streetview_santa_monica_sm_0027_h000.jpg,34.00614552869927,-118.4882333979734,0,0,90,640x640,2026-01-04 13:51:14,success,,147557,streetview_santa_monica,sm_0027_h000.jpg,santa_monica
streetview_pasadena_pas_0725_h270.jpg,34.14219228746813,-118.1552572511202,270,0,90,640x640,2026-01-04 17:36:47,success,,132852,streetview_pasadena,pas_0725_h270.jpg,pasadena
streetview_venice_beach_vb_0264_h090.jpg,33.98576274836639,-118.4676325613502,90,0,90,640x640,2026-01-04 14:43:49,success,,74025,streetview_venice_beach,vb_0264_h090.jpg,venice_beach
streetview_santa_monica_sm_0633_h270.jpg,34.01620253440908,-118.4976714948023,270,0,90,640x640,2026-01-04 14:13:51,success,,72693,streetview_santa_monica,sm_0633_h270.jpg,santa_monica
streetview_hollywood_hwood_0586_h180.jpg,34.09748529357682,-118.3479912005975,180,0,90,640x640,2026-01-04 12:48:08,success,,71924,streetview_hollywood,hwood_0586_h180.jpg,hollywood
streetview_santa_monica_sm_0027_h270.jpg,34.00614552869927,-118.4882333979734,270,0,90,640x640,2026-01-04 13:51:17,success,,147502,streetview_santa_monica,sm_0027_h270.jpg,santa_monica
streetview_long_beach_lb_0539_h090.jpg,33.76947939479208,-118.189310597262,90,0,90,640x640,2026-01-04 18:12:42,success,,95245,streetview_long_beach,lb_0539_h090.jpg,long_beach
streetview_long_beach_lb_0541_h000.jpg,33.76930204538348,-118.1879778970607,0,0,90,640x640,2026-01-04 18:12:46,success,,123479,streetview_long_beach,lb_0541_h000.jpg,long_beach
streetview_long_beach_lb_0581_h090.jpg,33.76996645482023,-118.1864005294237,90,0,90,640x640,2026-01-04 18:14:22,success,,59969,streetview_long_beach,lb_0581_h090.jpg,long_beach
streetview_hollywood_hwood_0268_h180.jpg,34.09309622211949,-118.3233863849434,180,0,90,640x640,2026-01-04 12:36:47,success,,58078,streetview_hollywood,hwood_0268_h180.jpg,hollywood
streetview_hollywood_hwood_0970_h180.jpg,34.10182986051502,-118.3378451210489,180,0,90,640x640,2026-01-04 13:03:01,success,,97744,streetview_hollywood,hwood_0970_h180.jpg,hollywood
streetview_beverly_hills_bh_0939_h090.jpg,34.07298615339265,-118.4132429628683,90,0,90,640x640,2026-01-04 13:43:09,success,,59806,streetview_beverly_hills,bh_0939_h090.jpg,beverly_hills
streetview_long_beach_lb_0045_h270.jpg,33.7616031394107,-118.1992576375137,270,0,90,640x640,2026-01-04 17:54:25,success,,66721,streetview_long_beach,lb_0045_h270.jpg,long_beach
streetview_santa_monica_sm_0258_h000.jpg,34.01001143366738,-118.482143177992,0,0,90,640x640,2026-01-04 14:00:12,success,,76259,streetview_santa_monica,sm_0258_h000.jpg,santa_monica
streetview_hollywood_hwood_0981_h090.jpg,34.10171216661809,-118.3295637208305,90,0,90,640x640,2026-01-04 13:03:27,success,,93983,streetview_hollywood,hwood_0981_h090.jpg,hollywood
streetview_koreatown_ktown_0990_h090.jpg,34.06569763741695,-118.2917973321699,90,0,90,640x640,2026-01-04 17:04:25,success,,61967,streetview_koreatown,ktown_0990_h090.jpg,koreatown
streetview_downtown_la_dtla_0371_h270.jpg,34.03936388158945,-118.2543318089337,270,0,90,640x640,2026-01-04 11:58:20,success,,63824,streetview_downtown_la,dtla_0371_h270.jpg,downtown_la
streetview_santa_monica_sm_0516_h270.jpg,34.01444569906614,-118.4978070068744,270,0,90,640x640,2026-01-04 14:09:43,success,,82447,streetview_santa_monica,sm_0516_h270.jpg,santa_monica
streetview_beverly_hills_bh_0250_h090.jpg,34.06376455011624,-118.4126293261841,90,0,90,640x640,2026-01-04 13:17:43,success,,77263,streetview_beverly_hills,bh_0250_h090.jpg,beverly_hills
streetview_beverly_hills_bh_0345_h180.jpg,34.06500863410696,-118.4048990404289,180,0,90,640x640,2026-01-04 13:21:15,success,,100866,streetview_beverly_hills,bh_0345_h180.jpg,beverly_hills
streetview_beverly_hills_bh_0471_h090.jpg,34.06654155009842,-118.4064030684779,90,0,90,640x640,2026-01-04 13:25:53,success,,61808,streetview_beverly_hills,bh_0471_h090.jpg,beverly_hills
