filename,latitude,longitude,heading,pitch,fov,size,timestamp,status,error_message,file_size_bytes,source_folder,original_filename
streetview_beverly_hills_bh_0000_h000.jpg,34.06056782953301,-118.4142262565828,0,0,90,640x640,2026-01-04 13:08:29,success,,57343,streetview_beverly_hills,bh_0000_h000.jpg
streetview_beverly_hills_bh_0000_h090.jpg,34.06056782953301,-118.4142262565828,90,0,90,640x640,2026-01-04 13:08:30,success,,53622,streetview_beverly_hills,bh_0000_h090.jpg
streetview_beverly_hills_bh_0000_h180.jpg,34.06056782953301,-118.4142262565828,180,0,90,640x640,2026-01-04 13:08:30,success,,45424,streetview_beverly_hills,bh_0000_h180.jpg
streetview_beverly_hills_bh_0000_h270.jpg,34.06056782953301,-118.4142262565828,270,0,90,640x640,2026-01-04 13:08:31,success,,49158,streetview_beverly_hills,bh_0000_h270.jpg
streetview_beverly_hills_bh_0001_h000.jpg,34.06038066008043,-118.4136911551184,0,0,90,640x640,2026-01-04 13:08:31,success,,88788,streetview_beverly_hills,bh_0001_h000.jpg
streetview_beverly_hills_bh_0001_h090.jpg,34.06038066008043,-118.4136911551184,90,0,90,640x640,2026-01-04 13:08:32,success,,78484,streetview_beverly_hills,bh_0001_h090.jpg
streetview_beverly_hills_bh_0001_h180.jpg,34.06038066008043,-118.4136911551184,180,0,90,640x640,2026-01-04 13:08:32,success,,87031,streetview_beverly_hills,bh_0001_h180.jpg
streetview_beverly_hills_bh_0001_h270.jpg,34.06038066008043,-118.4136911551184,270,0,90,640x640,2026-01-04 13:08:33,success,,104403,streetview_beverly_hills,bh_0001_h270.jpg
streetview_beverly_hills_bh_0002_h000.jpg,34.0605713926612,-118.4096219033719,0,0,90,640x640,2026-01-04 13:08:33,success,,21745,streetview_beverly_hills,bh_0002_h000.jpg
streetview_beverly_hills_bh_0002_h090.jpg,34.0605713926612,-118.4096219033719,90,0,90,640x640,2026-01-04 13:08:35,success,,29637,streetview_beverly_hills,bh_0002_h090.jpg
streetview_beverly_hills_bh_0002_h180.jpg,34.0605713926612,-118.4096219033719,180,0,90,640x640,2026-01-04 13:08:35,success,,20738,streetview_beverly_hills,bh_0002_h180.jpg
streetview_beverly_hills_bh_0002_h270.jpg,34.0605713926612,-118.4096219033719,270,0,90,640x640,2026-01-04 13:08:36,success,,20736,streetview_beverly_hills,bh_0002_h270.jpg
streetview_beverly_hills_bh_0003_h000.jpg,34.06059430158447,-118.4089223208292,0,0,90,640x640,2026-01-04 13:08:37,success,,101929,streetview_beverly_hills,bh_0003_h000.jpg
streetview_beverly_hills_bh_0003_h090.jpg,34.06059430158447,-118.4089223208292,90,0,90,640x640,2026-01-04 13:08:38,success,,103247,streetview_beverly_hills,bh_0003_h090.jpg
streetview_beverly_hills_bh_0003_h180.jpg,34.06059430158447,-118.4089223208292,180,0,90,640x640,2026-01-04 13:08:38,success,,86741,streetview_beverly_hills,bh_0003_h180.jpg
streetview_beverly_hills_bh_0003_h270.jpg,34.06059430158447,-118.4089223208292,270,0,90,640x640,2026-01-04 13:08:39,success,,90284,streetview_beverly_hills,bh_0003_h270.jpg
streetview_beverly_hills_bh_0004_h000.jpg,34.06056012002429,-118.4078378194781,0,0,90,640x640,2026-01-04 13:08:39,success,,120687,streetview_beverly_hills,bh_0004_h000.jpg
streetview_beverly_hills_bh_0004_h090.jpg,34.06056012002429,-118.4078378194781,90,0,90,640x640,2026-01-04 13:08:40,success,,107380,streetview_beverly_hills,bh_0004_h090.jpg
streetview_beverly_hills_bh_0004_h180.jpg,34.06056012002429,-118.4078378194781,180,0,90,640x640,2026-01-04 13:08:40,success,,113210,streetview_beverly_hills,bh_0004_h180.jpg
streetview_beverly_hills_bh_0004_h270.jpg,34.06056012002429,-118.4078378194781,270,0,90,640x640,2026-01-04 13:08:41,success,,82611,streetview_beverly_hills,bh_0004_h270.jpg
streetview_beverly_hills_bh_0005_h000.jpg,34.0605687383083,-118.4072881673335,0,0,90,640x640,2026-01-04 13:08:41,success,,98140,streetview_beverly_hills,bh_0005_h000.jpg
streetview_beverly_hills_bh_0005_h090.jpg,34.0605687383083,-118.4072881673335,90,0,90,640x640,2026-01-04 13:08:42,success,,82521,streetview_beverly_hills,bh_0005_h090.jpg
streetview_beverly_hills_bh_0005_h180.jpg,34.0605687383083,-118.4072881673335,180,0,90,640x640,2026-01-04 13:08:42,success,,90392,streetview_beverly_hills,bh_0005_h180.jpg
streetview_beverly_hills_bh_0005_h270.jpg,34.0605687383083,-118.4072881673335,270,0,90,640x640,2026-01-04 13:08:43,success,,119349,streetview_beverly_hills,bh_0005_h270.jpg
streetview_beverly_hills_bh_0006_h000.jpg,34.06056379217923,-118.406198485087,0,0,90,640x640,2026-01-04 13:08:44,success,,95687,streetview_beverly_hills,bh_0006_h000.jpg
streetview_beverly_hills_bh_0006_h090.jpg,34.06056379217923,-118.406198485087,90,0,90,640x640,2026-01-04 13:08:44,success,,54210,streetview_beverly_hills,bh_0006_h090.jpg
streetview_beverly_hills_bh_0006_h180.jpg,34.06056379217923,-118.406198485087,180,0,90,640x640,2026-01-04 13:08:45,success,,87607,streetview_beverly_hills,bh_0006_h180.jpg
streetview_beverly_hills_bh_0006_h270.jpg,34.06056379217923,-118.406198485087,270,0,90,640x640,2026-01-04 13:08:45,success,,109877,streetview_beverly_hills,bh_0006_h270.jpg
streetview_beverly_hills_bh_0007_h000.jpg,34.06058367621431,-118.4056546218804,0,0,90,640x640,2026-01-04 13:08:46,success,,103572,streetview_beverly_hills,bh_0007_h000.jpg
streetview_beverly_hills_bh_0007_h090.jpg,34.06058367621431,-118.4056546218804,90,0,90,640x640,2026-01-04 13:08:46,success,,87903,streetview_beverly_hills,bh_0007_h090.jpg
streetview_beverly_hills_bh_0007_h180.jpg,34.06058367621431,-118.4056546218804,180,0,90,640x640,2026-01-04 13:08:47,success,,80383,streetview_beverly_hills,bh_0007_h180.jpg
streetview_beverly_hills_bh_0007_h270.jpg,34.06058367621431,-118.4056546218804,270,0,90,640x640,2026-01-04 13:08:47,success,,84527,streetview_beverly_hills,bh_0007_h270.jpg
streetview_beverly_hills_bh_0008_h000.jpg,34.06052990531018,-118.4051092414631,0,0,90,640x640,2026-01-04 13:08:48,success,,97107,streetview_beverly_hills,bh_0008_h000.jpg
streetview_beverly_hills_bh_0008_h090.jpg,34.06052990531018,-118.4051092414631,90,0,90,640x640,2026-01-04 13:08:48,success,,128007,streetview_beverly_hills,bh_0008_h090.jpg
streetview_beverly_hills_bh_0008_h180.jpg,34.06052990531018,-118.4051092414631,180,0,90,640x640,2026-01-04 13:08:49,success,,90487,streetview_beverly_hills,bh_0008_h180.jpg
streetview_beverly_hills_bh_0008_h270.jpg,34.06052990531018,-118.4051092414631,270,0,90,640x640,2026-01-04 13:08:49,success,,94847,streetview_beverly_hills,bh_0008_h270.jpg
streetview_beverly_hills_bh_0009_h000.jpg,34.06051076081876,-118.4040091151445,0,0,90,640x640,2026-01-04 13:08:50,success,,98691,streetview_beverly_hills,bh_0009_h000.jpg
streetview_beverly_hills_bh_0009_h090.jpg,34.06051076081876,-118.4040091151445,90,0,90,640x640,2026-01-04 13:08:51,success,,33813,streetview_beverly_hills,bh_0009_h090.jpg
streetview_beverly_hills_bh_0009_h180.jpg,34.06051076081876,-118.4040091151445,180,0,90,640x640,2026-01-04 13:08:51,success,,89931,streetview_beverly_hills,bh_0009_h180.jpg
streetview_beverly_hills_bh_0009_h270.jpg,34.06051076081876,-118.4040091151445,270,0,90,640x640,2026-01-04 13:08:52,success,,130667,streetview_beverly_hills,bh_0009_h270.jpg
streetview_beverly_hills_bh_0010_h000.jpg,34.06054664767248,-118.4034736244157,0,0,90,640x640,2026-01-04 13:08:52,success,,57854,streetview_beverly_hills,bh_0010_h000.jpg
streetview_beverly_hills_bh_0010_h090.jpg,34.06054664767248,-118.4034736244157,90,0,90,640x640,2026-01-04 13:08:53,success,,72317,streetview_beverly_hills,bh_0010_h090.jpg
streetview_beverly_hills_bh_0010_h180.jpg,34.06054664767248,-118.4034736244157,180,0,90,640x640,2026-01-04 13:08:53,success,,90209,streetview_beverly_hills,bh_0010_h180.jpg
streetview_beverly_hills_bh_0010_h270.jpg,34.06054664767248,-118.4034736244157,270,0,90,640x640,2026-01-04 13:08:54,success,,85182,streetview_beverly_hills,bh_0010_h270.jpg
